town,municipality_type,county,town_website,clerk_name,clerk_email,clerk_phone,clerk_mailing_address,source,notes
Norton,Town,Essex,,,,,,,
Orleans,Village,Orleans,,,,,,,
Albany,Town,Orleans,,,,,,,
Averill,Unincorporated Town,Essex,,,,,,,
Averys Gore,Gore,Essex,,,,,,,
Bloomfield,Town,Essex,,,,,,,
Brunswick,Town,Essex,,,,,,,
Buels Gore,Gore,Chittenden,,,,,,,
Chittenden,Town,Rutland,,,,,,,
East Haven,Town,Essex,,,,,,,
Ferdinand,Unincorporated Town,Essex,,,,,,,
Glastenbury,Unincorporated Town,Bennington,,,,,,,
Granby,Town,Essex,,,,,,,
Holland,Town,Orleans,,,,,,,
Hubbardton,Town,Rutland,,,,,,,
Irasburg,Town,Orleans,,,,,,,
Jacksonville,Village,Windham,,,,,,,
Jeffersonville,Village,Lamoille,,,,,,,
Lemington,Town,Essex,,,,,,,
Lunenburg,Town,Essex,,,,,,,
Mount Holly,Town,Rutland,,,,,,,
Mount Tabor,Town,Rutland,,,,,,,
Newark,Town,Caledonia,,,,,,,
Perkinsville,Village,Windsor,,,,,,,
Pittsfield,Town,Rutland,,,,,,,
Saxtons River,Village,Windham,,,,,,,
Searsburg,Town,Bennington,,,,,,,
Sheffield,Town,Caledonia,,,,,,,
Somerset,Unincorporated Town,Windham,,,,,,,
Stannard,Town,Caledonia,,,,,,,
Sudbury,Town,Rutland,,,,,,,
Townshend,Town,Windham,,,,,,,
Victory,Town,Essex,,,,,,,
Warner's Grant,Gore,Essex,,,,,,,
Warren's Gore,Gore,Essex,,,,,,,
Bristol,Town,Addison,http://bristolvt.org/,,,,,,
Burke,Town,Caledonia,http://burkevermont.org/,,,,,,
Canaan,Town,Essex,http://canaan-vt.org/,,,,,,
Hardwick,Town,Caledonia,http://hardwickvt.org,,,,,,
Landgrove,Town,Bennington,http://landgrove.vermont.gov/,,,,,,
Norwich,Town,Windsor,http://norwich.vt.us/,,,,,,
Rochester,Town,Windsor,http://rochestervermont.org/,,,,,,
Glover,Town,Orleans,http://townofglover.com,,,,,,
Barre,Town,Washington,http://www.barretown.org/,,,,,,
Berkshire,Town,Franklin,http://www.berkshirevt.com/,,,,,,
West Burke,Village,Caledonia,http://www.burkevermont.org/villages-west-burke.php,,,,,,
Danville,Town,Caledonia,http://www.danvillevt.com,,,,,,
Greensboro,Town,Orleans,http://www.greensborovt.org,,,,,,
Groton,Town,Caledonia,http://www.grotonvt.com,,,,,,
Lyndon,Town,Caledonia,http://www.lyndonvt.org,,,,,,
Peacham,Town,Caledonia,http://www.peacham.net,,,,,,
St. Johnsbury,Town,Caledonia,http://www.stjtown.com,,,,,,
Craftsbury,Town,Orleans,http://www.townofcraftsbury.com,,,,,,
Lowell,Town,Orleans,http://www.townoflowell.org/,,,,,,
Waterville,Town,Lamoille,http://www.watervillevt.org/,,,,,,
Arlington,Town,Bennington,https://arlingtonvermont.org/,,,,,,
Barnard,Town,Windsor,https://barnardvt.us/,,,,,,
Barnet,Town,Caledonia,https://barnetvt.org/,,,,,,
Barton,Town,Orleans,https://bartonvt.com/,,,,,,
Bellows Falls,Village,Windham,https://bellowsfallsvt.org/,,,,,,
Bolton,Town,Chittenden,https://boltonvt.com/,,,,,,
Bradford,Town,Orange,https://bradford-vt.us/,,,,,,
Braintree,Town,Orange,https://braintreevt.gov/,,,,,,
Bridport,Town,Addison,https://bridportvt.org/,,,,,,
Brighton,Town,Essex,https://brightonvt.org/,,,,,,
Cabot,Town,Washington,https://cabotvt.us/,,,,,,
Charleston,Town,Orleans,https://charlestonvt.org/,,,,,,
Colchester,Town,Chittenden,https://colchestervt.gov/,,,,,,
Corinth,Town,Orange,https://corinthvt.org/,,,,,,
Cornwall,Town,Addison,https://cornwallvt.com/,,,,,,
Coventry,Town,Orleans,https://coventryvt.org/,,,,,,
Derby,Town,Orleans,https://derbyvt.org/,,,,,,
Derby Center,Village,Orleans,https://derbyvt.org/derby-center/,,,,,,
Derby Line,Village,Orleans,https://derbyvt.org/derby-line/village-of-derby-line/,,,,,,
Dorset,Town,Bennington,https://dorsetvt.org/index.html,,,,,,
Dummerston,Town,Windham,https://dummerston.org/,,,,,,
East Montpelier,Town,Washington,https://eastmontpeliervt.org/,,,,,,
Elmore,Town,Lamoille,https://elmorevt.org/,,,,,,
Fairfield,Town,Franklin,https://fairfieldvermont.us/,,,,,,
Fair Haven,Town,Rutland,https://fairhavenvt.gov/,,,,,,
Fairlee,Town,Orange,https://fairleevt.gov/,,,,,,
Fayston,Town,Washington,https://faystonvt.com/,,,,,,
Fletcher,Town,Franklin,https://fletchervt.net/,,,,,,
Goshen,Town,Addison,https://goshenvt.org/,,,,,,
Grafton,Town,Windham,https://graftonvt.org/,,,,,,
Grand Isle,Town,Grand Isle,https://grandislevt.org/,,,,,,
Granville,Town,Addison,https://granvillevermont.org/,,,,,,
Guilford,Town,Windham,https://guilfordvt.gov/,,,,,,
Halifax,Town,Windham,https://halifaxvt.com/,,,,,,
Hartland,Town,Windsor,https://hartland.govoffice.com/,,,,,,
Hyde Park,Town,Lamoille,https://hydeparkvt.com/,,,,,,
Isle La Motte,Town,Grand Isle,https://islelamotte.us/,,,,,,
Jericho,Town,Chittenden,https://jerichovt.org/,,,,,,
Lincoln,Town,Addison,https://lincolnvermont.org/,,,,,,
Manchester,Town,Bennington,https://manchester-vt.gov/,,,,,,
Marlboro,Town,Windham,https://marlborovt.us/,,,,,,
Marshfield,Town,Washington,https://marshfieldvt.gov/,,,,,,
Mendon,Town,Rutland,https://mendonvt.gov/,,,,,,
Middlesex,Town,Washington,https://middlesexvermont.org/,,,,,,
Middletown Springs,Town,Rutland,https://middletownsprings.vt.gov/,,,,,,
Monkton,Town,Addison,https://monktonvt.com/,,,,,,
Montgomery,Town,Franklin,https://montgomeryvt.us/,,,,,,
Morristown,Town,Lamoille,https://morristownvt.org/,,,,,,
Morrisville,Village,Lamoille,https://morristownvt.org/,,,,,,
Newfane,Town,Windham,https://newfanevt.com/,,,,,,
Old Bennington,Village,Bennington,https://oldbennington.org/,,,,,,
Orange,Town,Orange,https://orangevt.org/,,,,,,
Pawlet,Town,Rutland,https://pawlet.vt.gov/,,,,,,
Pomfret,Town,Windsor,https://pomfretvt.us/,,,,,,
Proctor,Town,Rutland,https://proctorvermont.com/,,,,,,
Randolph,Town,Orange,https://randolphvt.org/,,,,,,
Reading,Town,Windsor,https://readingvt.govoffice.com/,,,,,,
Readsboro,Town,Bennington,https://readsborovt.org/,,,,,,
Roxbury,Town,Washington,https://roxburyvt.org/,,,,,,
Royalton,Town,Windsor,https://royaltonvt.gov/,,,,,,
South Royalton,Village,Windsor,https://royaltonvt.gov/,,,,,,
Rupert,Town,Bennington,https://rupert.vt.gov/,,,,,,
Sandgate,Town,Bennington,https://sandgatevermont.org/,,,,,,
Sharon,Town,Windsor,https://sharonvt.net/,,,,,,
Sheldon,Town,Franklin,https://sheldonvt.com/,,,,,,
Shoreham,Town,Addison,https://shorehamvt.org/,,,,,,
South Hero,Town,Grand Isle,https://southherovt.org/,,,,,,
Springfield,Town,Windsor,https://springfieldvt.gov/,,,,,,
St. George,Town,Chittenden,https://stgeorgevt.com/,,,,,,
Stockbridge,Town,Windsor,https://stockbridgevt.gov/,,,,,,
Sunderland,Town,Bennington,https://sunderlandvt.org/,,,,,,
Tinmouth,Town,Rutland,https://tinmouthvt.org/,,,,,,
Bakersfield,Town,Franklin,https://townofbakersfield.org/,,,,,,
Belvidere,Town,Lamoille,https://townofbelviderevt.com/,,,,,,
Bethel,Town,Windsor,https://townofbethelvt.com/,,,,,,
Ira,Town,Rutland,https://townofira.com/,,,,,,
Johnson,Town,Lamoille,https://townofjohnson.com/,,,,,,
Morgan,Town,Orleans,https://townofmorgan.com/,,,,,,
Orwell,Town,Addison,https://townoforwellvt.org/,,,,,,
Stamford,Town,Bennington,https://townofstamfordvermont.org/,,,,,,
Wheelock,Town,Caledonia,https://townofwheelockvt.org/,,,,,,
Windham,Town,Windham,https://townofwindhamvt.com/,,,,,,
Woodstock,Town,Windsor,https://townofwoodstock.org/,,,,,,
Troy,Town,Orleans,https://troyvt.org/,,,,,,
Tunbridge,Town,Orange,https://tunbridgevt.org/,,,,,,
Vernon,Town,Windham,https://vernonvt.org/,,,,,,
Vershire,Town,Orange,https://vershirevt.org/,,,,,,
Enosburg Falls,Village,Franklin,https://villageofenosburgfalls.org/,,,,,,
North Troy,Village,Orleans,https://villageofnorthtroyvt.org/,,,,,,
Walden,Town,Caledonia,https://waldenvt.gov/,,,,,,
Washington,Town,Orange,https://washingtonvt.org/,,,,,,
Wells,Town,Rutland,https://wellsvt.com/,,,,,,
West Fairlee,Town,Orange,https://westfairleevt.gov/,,,,,,
Westfield,Town,Orleans,https://westfield.vt.gov/,,,,,,
Westford,Town,Chittenden,https://westfordvt.us/,,,,,,
West Haven,Town,Rutland,https://westhavenvt.org/,,,,,,
West Windsor,Town,Windsor,https://westwindsorvt.govoffice2.com/,,,,,,
Whitingham,Town,Windham,https://whitinghamvt.org/,,,,,,
Whiting,Town,Addison,https://whitingvt.com/,,,,,,
Williamstown,Town,Orange,https://williamstownvt.org/,,,,,,
Wilmington,Town,Windham,https://wilmingtonvermont.us/,,,,,,
Wolcott,Town,Lamoille,https://wolcottvt.org/,,,,,,
Woodford,Town,Bennington,https://woodfordvt.org/,,,,,,
Addison,Town,Addison,https://www.addisonvt.net/,,,,,,
Alburgh,Town,Grand Isle,https://www.Alburghvt.org,,,,,,
Andover,Town,Windsor,https://www.andovervt.org/,,,,,,
Athens,Town,Windham,https://www.athensvt.com/,,,,,,
Baltimore,Town,Windsor,https://www.baltimorevt.org/,,,,,,
Barre,City,Washington,https://www.barrecity.org/,,,,,,
Bennington,Town,Bennington,https://www.benningtonvt.org/,,,,,,
Benson,Town,Rutland,https://www.bensonvermont.gov/,,,,,,
Berlin,Town,Washington,https://www.berlinvt.gov/,,,,,,
Brattleboro,Town,Windham,https://www.brattleboro.org/,,,,,,
Bridgewater,Town,Windsor,https://www.bridgewater.vt.gov/,,,,,,
Brookfield,Town,Orange,https://www.brookfieldvt.org/,,,,,,
Brookline,Town,Windham,https://www.brooklinevt.com/,,,,,,
Brownington,Town,Orleans,https://www.browningtonvt.com/,,,,,,
Burlington,City,Chittenden,https://www.burlingtonvt.gov/,,,,,,
Calais,Town,Washington,https://www.calaisvermont.gov/,,,,,,
Cambridge,Town,Lamoille,https://www.cambridge.vermont.gov/,,,,,,
Castleton,Town,Rutland,https://www.castletonvermont.org/,,,,,,
Cavendish,Town,Windsor,https://www.cavendishvt.com/,,,,,,
Charlotte,Town,Chittenden,https://www.charlottevt.org/,,,,,,
Chelsea,Town,Orange,https://www.chelseavt.org/,,,,,,
Chester,Town,Windsor,https://www.chestervt.gov/,,,,,,
Clarendon,Town,Rutland,https://www.clarendonvt.gov/,,,,,,
Concord,Town,Essex,https://www.concordvt.us/,,,,,,
Danby,Town,Rutland,https://www.danbyvt.org/,,,,,,
Dover,Town,Windham,https://www.doververmont.com/,,,,,,
Duxbury,Town,Washington,https://www.duxburyvermont.org/,,,,,,
Eden,Town,Lamoille,https://www.edenvt.org/,,,,,,
Enosburgh,Town,Franklin,https://www.enosburghvt.org/,,,,,,
Essex Junction,City,Chittenden,https://www.essexjunction.org/,,,,,,
Essex,Town,Chittenden,https://www.essexvt.org/,,,,,,
Fairfax,Town,Franklin,https://www.fairfax-vt.gov/,,,,,,
Ferrisburgh,Town,Addison,https://www.ferrisburghvt.org/,,,,,,
Franklin,Town,Franklin,https://www.franklinvermont.org/,,,,,,
Guildhall,Town,Essex,https://www.guildhallvt.org/,,,,,,
